date,experiment,corruption,severity,n_frames,backend,mAP50,mAP50_95,precision,recall,mean_score,max_score,nominal_fraction,degraded_fraction,fail_safe_fraction,first_transition_frame,latency_ms_p50,latency_ms_p95,within_budget_p95
2026-07-17,EXP-010,none,none,300,tensorrt_fp16,0.8471,0.5593,0.8444,0.9033,0.1021,1.0,0.9833,0.0167,0.0,275,13.81,25.48,True
2026-07-17,EXP-010,fog,low,300,tensorrt_fp16,0.5547,0.3594,0.9466,0.6408,0.1706,1.0,0.91,0.0,0.09,274,14.71,24.93,True
2026-07-17,EXP-010,fog,medium,300,tensorrt_fp16,0.3199,0.1971,0.9574,0.4145,0.2817,1.0,0.19,0.2133,0.5967,16,14.96,25.28,True
2026-07-17,EXP-010,fog,high,300,tensorrt_fp16,0.0711,0.0435,0.9924,0.0855,0.7295,1.0,0.01,0.0,0.99,4,14.41,17.72,True
2026-07-17,EXP-010,motion_blur,low,300,tensorrt_fp16,0.8058,0.5203,0.8857,0.8822,0.1057,1.0,0.9833,0.0167,0.0,275,8.24,13.73,True
2026-07-17,EXP-010,motion_blur,medium,300,tensorrt_fp16,0.4988,0.3111,0.9118,0.7138,0.144,1.0,0.9133,0.0333,0.0533,275,8.63,15.12,True
2026-07-17,EXP-010,motion_blur,high,300,tensorrt_fp16,0.2508,0.144,0.9302,0.4382,0.3038,1.0,0.0967,0.1267,0.7767,4,15.25,26.3,True
2026-07-17,EXP-010,gaussian_noise,low,300,tensorrt_fp16,0.7929,0.5146,0.8445,0.8757,0.1085,1.0,0.9833,0.0167,0.0,275,14.91,31.16,True
2026-07-17,EXP-010,gaussian_noise,medium,300,tensorrt_fp16,0.6199,0.386,0.8364,0.7704,0.1556,1.0,0.91,0.0333,0.0567,274,14.98,26.07,True
2026-07-17,EXP-010,gaussian_noise,high,300,tensorrt_fp16,0.3648,0.2067,0.84,0.4454,0.3163,1.0,0.1267,0.1,0.7733,16,15.71,26.31,True
2026-07-17,EXP-010,low_light,low,300,tensorrt_fp16,0.8437,0.5538,0.8714,0.8961,0.1036,1.0,0.9833,0.0167,0.0,275,14.12,15.67,True
2026-07-17,EXP-010,low_light,medium,300,tensorrt_fp16,0.8158,0.5273,0.8789,0.8789,0.1094,1.0,0.9833,0.0167,0.0,275,13.79,15.33,True
2026-07-17,EXP-010,low_light,high,300,tensorrt_fp16,0.6887,0.4238,0.8834,0.7974,0.1339,1.0,0.9767,0.0233,0.0,275,13.82,15.39,True
2026-07-17,EXP-010,dead_pixels,low,300,tensorrt_fp16,0.8415,0.5539,0.8389,0.8974,0.1032,1.0,0.9833,0.0167,0.0,275,7.83,13.32,True
2026-07-17,EXP-010,dead_pixels,medium,300,tensorrt_fp16,0.7912,0.509,0.8265,0.8776,0.1098,0.8099,0.9833,0.0167,0.0,275,9.88,10.45,True
2026-07-17,EXP-010,dead_pixels,high,300,tensorrt_fp16,0.6316,0.3767,0.8118,0.7579,0.1527,1.0,0.8967,0.0667,0.0367,16,7.96,14.42,True
