date,experiment,slice,method,threshold_label,threshold,n_frames,n_accepted,accepted_fraction,rejected_fraction,accepted_mAP50,accepted_mAP50_95,accepted_precision,accepted_recall
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q005,0.05383,561,29,0.0517,0.9483,0.7924,0.5257,0.8222,0.8775
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q010,0.060088,561,57,0.1016,0.8984,0.7606,0.5047,0.8,0.8841
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q015,0.06298,561,85,0.1515,0.8485,0.7531,0.5015,0.8276,0.891
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q020,0.065275,561,113,0.2014,0.7986,0.7578,0.5056,0.8195,0.8974
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q025,0.067714,561,141,0.2513,0.7487,0.7682,0.5133,0.8142,0.8991
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q030,0.07025,561,169,0.3012,0.6988,0.7694,0.514,0.8196,0.9009
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q035,0.072595,561,197,0.3512,0.6488,0.7826,0.5216,0.8176,0.9002
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q040,0.075876,561,225,0.4011,0.5989,0.7871,0.5254,0.8206,0.8954
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q045,0.07949,561,253,0.451,0.549,0.8014,0.534,0.823,0.8992
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q050,0.083294,561,281,0.5009,0.4991,0.8098,0.5333,0.8241,0.9008
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q055,0.088454,561,309,0.5508,0.4492,0.8173,0.5374,0.8205,0.9002
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q060,0.093791,561,337,0.6007,0.3993,0.8238,0.5436,0.8222,0.9022
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q065,0.099656,561,365,0.6506,0.3494,0.8316,0.55,0.8229,0.9034
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q070,0.107437,561,393,0.7005,0.2995,0.8329,0.5468,0.823,0.9027
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q075,0.116517,561,421,0.7504,0.2496,0.8346,0.5495,0.824,0.9053
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q080,0.12817,561,449,0.8004,0.1996,0.8403,0.5527,0.8239,0.9043
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q085,0.143173,561,477,0.8503,0.1497,0.8479,0.5585,0.8212,0.9028
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q090,0.163072,561,505,0.9002,0.0998,0.8474,0.5598,0.8187,0.9029
2026-07-17,EXP-008,kitti-val-report,max_conf_score,frozen-q95,0.186212,561,532,0.9483,0.0517,0.8542,0.5667,0.819,0.9011
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q095,0.186212,561,533,0.9501,0.0499,0.8542,0.5667,0.8191,0.9011
2026-07-17,EXP-008,kitti-val-report,max_conf_score,frozen-q99,0.37276,561,555,0.9893,0.0107,0.85,0.5632,0.8155,0.8987
2026-07-17,EXP-008,kitti-val-report,max_conf_score,sweep-q100,0.703382,561,561,1.0,0.0,0.8499,0.5622,0.8146,0.8984
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q005,-4.257846,561,29,0.0517,0.9483,0.8194,0.6138,0.8009,0.9086
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q010,-4.154809,561,57,0.1016,0.8984,0.8256,0.5711,0.8255,0.898
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q015,-4.072889,561,85,0.1515,0.8485,0.7966,0.5323,0.8157,0.8926
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q020,-3.960707,561,113,0.2014,0.7986,0.799,0.532,0.8192,0.8966
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q025,-3.853744,561,141,0.2513,0.7487,0.7589,0.4996,0.8163,0.8951
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q030,-3.741672,561,169,0.3012,0.6988,0.7535,0.4931,0.8176,0.8969
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q035,-3.645517,561,197,0.3512,0.6488,0.768,0.503,0.8202,0.8985
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q040,-3.528813,561,225,0.4011,0.5989,0.7922,0.5137,0.8197,0.8985
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q045,-3.397839,561,253,0.451,0.549,0.8023,0.5242,0.8217,0.8996
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q050,-3.305124,561,281,0.5009,0.4991,0.8122,0.5294,0.8248,0.9024
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q055,-3.201498,561,309,0.5508,0.4492,0.819,0.5329,0.8222,0.9024
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q060,-3.106585,561,337,0.6007,0.3993,0.8241,0.5374,0.823,0.9008
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q065,-2.920531,561,365,0.6506,0.3494,0.8289,0.5423,0.8204,0.8995
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q070,-2.768518,561,393,0.7005,0.2995,0.8317,0.5426,0.8188,0.9005
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q075,-2.616305,561,421,0.7504,0.2496,0.8309,0.5393,0.8137,0.8979
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q080,-2.349345,561,449,0.8004,0.1996,0.8332,0.5416,0.8137,0.8977
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q085,-2.040307,561,477,0.8503,0.1497,0.8354,0.547,0.8139,0.8982
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q090,-1.813207,561,505,0.9002,0.0998,0.8388,0.5498,0.8139,0.8981
2026-07-17,EXP-008,kitti-val-report,energy_score,frozen-q95,-1.593965,561,532,0.9483,0.0517,0.8481,0.5594,0.8146,0.8989
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q095,-1.593965,561,533,0.9501,0.0499,0.8486,0.5599,0.8147,0.8989
2026-07-17,EXP-008,kitti-val-report,energy_score,frozen-q99,-1.14907,561,555,0.9893,0.0107,0.851,0.5632,0.815,0.8985
2026-07-17,EXP-008,kitti-val-report,energy_score,sweep-q100,0.712995,561,561,1.0,0.0,0.8499,0.5622,0.8146,0.8984
2026-07-17,EXP-008,bdd-clear-day,max_conf_score,frozen-q95,0.186212,500,340,0.68,0.32,,,,
2026-07-17,EXP-008,bdd-clear-day,max_conf_score,frozen-q99,0.37276,500,403,0.806,0.194,,,,
2026-07-17,EXP-008,bdd-clear-day,energy_score,frozen-q95,-1.593965,500,366,0.732,0.268,,,,
2026-07-17,EXP-008,bdd-clear-day,energy_score,frozen-q99,-1.14907,500,389,0.778,0.222,,,,
2026-07-17,EXP-008,bdd-night,max_conf_score,frozen-q95,0.186212,500,30,0.06,0.94,,,,
2026-07-17,EXP-008,bdd-night,max_conf_score,frozen-q99,0.37276,500,70,0.14,0.86,,,,
2026-07-17,EXP-008,bdd-night,energy_score,frozen-q95,-1.593965,500,34,0.068,0.932,,,,
2026-07-17,EXP-008,bdd-night,energy_score,frozen-q99,-1.14907,500,52,0.104,0.896,,,,
2026-07-17,EXP-008,bdd-rain,max_conf_score,frozen-q95,0.186212,500,180,0.36,0.64,,,,
2026-07-17,EXP-008,bdd-rain,max_conf_score,frozen-q99,0.37276,500,238,0.476,0.524,,,,
2026-07-17,EXP-008,bdd-rain,energy_score,frozen-q95,-1.593965,500,203,0.406,0.594,,,,
2026-07-17,EXP-008,bdd-rain,energy_score,frozen-q99,-1.14907,500,222,0.444,0.556,,,,
2026-07-17,EXP-008,bdd-fog,max_conf_score,frozen-q95,0.186212,13,3,0.2308,0.7692,,,,
2026-07-17,EXP-008,bdd-fog,max_conf_score,frozen-q99,0.37276,13,4,0.3077,0.6923,,,,
2026-07-17,EXP-008,bdd-fog,energy_score,frozen-q95,-1.593965,13,4,0.3077,0.6923,,,,
2026-07-17,EXP-008,bdd-fog,energy_score,frozen-q99,-1.14907,13,4,0.3077,0.6923,,,,
